doc_id,shop_num,cash_num,item,category,amount,price,discount
ZPKLY5TSPN1GCCO,1,5,гель универсальный,бытовая химия,6,4816.67,748.26
ZPKLY5TSPN1GCCO,1,5,спрей универсальный,бытовая химия,5,2801.53,203.94
ZPKLY5TSPN1GCCO,1,5,полотенце льняной,текстиль,5,3888.22,750.11
ZPKLY5TSPN1GCCO,1,5,дрель универсал,инструменты,3,730.66,0.0
ZPKLY5TSPN1GCCO,1,5,гель универсальный,бытовая химия,4,67.97,15.13
Y9DOZ6EQSBWZE3B,1,5,порошок универсальный,бытовая химия,7,3554.74,346.39
Y9DOZ6EQSBWZE3B,1,5,молоток для дома,инструменты,1,1378.25,61.87
Y9DOZ6EQSBWZE3B,1,5,тарелка керамическая,посуда,2,312.26,0.0
8U564KHF1MSOBGZ,1,5,пасатижи универсал,инструменты,4,1365.95,104.18
8U564KHF1MSOBGZ,1,5,спрей для стирки,бытовая химия,4,2470.46,429.48
QTW5IG96UWC5OK6,1,5,полотенце бамбуковый,текстиль,3,4624.37,1381.39
QTW5IG96UWC5OK6,1,5,пасатижи для хозяйства,инструменты,1,782.39,0.0
QTW5IG96UWC5OK6,1,5,спрей универсальный,бытовая химия,6,4727.59,0.0
QTW5IG96UWC5OK6,1,5,простыня льняной,текстиль,1,2039.63,199.12
QTW5IG96UWC5OK6,1,5,тарелка стеклянная,посуда,2,4889.33,1183.16
B98JZTHF17JS87O,1,5,полотенце хлопковый,текстиль,6,1640.52,158.13
B98JZTHF17JS87O,1,5,тарелка металлическая,посуда,6,718.28,0.0
B98JZTHF17JS87O,1,5,пасатижи для хозяйства,инструменты,4,782.39,0.0
B98JZTHF17JS87O,1,5,полотенце бамбуковый,текстиль,1,4624.37,1381.39
B98JZTHF17JS87O,1,5,кружка металлическая,посуда,2,3994.05,404.48
9PWY9I0N3FWCA4C,1,5,молоток универсал,инструменты,2,4957.57,992.87
9PWY9I0N3FWCA4C,1,5,скатерть бамбуковый,текстиль,7,662.06,0.0
9PWY9I0N3FWCA4C,1,5,кружка керамическая,посуда,2,279.57,4.23
1FTP8HT2PVCMLW3,1,5,молоток универсал,инструменты,1,4957.57,992.87
1FTP8HT2PVCMLW3,1,5,плед хлопковый,текстиль,1,2150.89,0.0
UGNHZV41648UVBA,1,5,плед бамбуковый,текстиль,6,2632.82,262.47
HJPBX47OM98PX6W,1,5,скатерть льняной,текстиль,1,198.25,0.0
HJPBX47OM98PX6W,1,5,спрей универсальный,бытовая химия,1,255.1,52.79
HJPBX47OM98PX6W,1,5,молоток для хозяйства,инструменты,5,3196.39,232.05
HJPBX47OM98PX6W,1,5,молоток универсал,инструменты,5,886.34,174.62
HJPBX47OM98PX6W,1,5,полотенце льняной,текстиль,4,3510.17,0.0
AQJPXD6IJ2G3U47,1,5,скатерть хлопковый,текстиль,4,3324.33,638.68
AQJPXD6IJ2G3U47,1,5,скатерть льняной,текстиль,3,1768.44,34.36
AQJPXD6IJ2G3U47,1,5,порошок универсальный,бытовая химия,2,3554.74,346.39
AQJPXD6IJ2G3U47,1,5,кружка металлическая,посуда,2,3994.05,404.48
AQJPXD6IJ2G3U47,1,5,спрей универсальный,бытовая химия,6,4727.59,0.0
V6VLIA3VE60J74S,1,6,тарелка керамическая,посуда,5,4392.6,1084.13
V6VLIA3VE60J74S,1,6,скатерть бамбуковый,текстиль,4,3604.51,989.14
V6VLIA3VE60J74S,1,6,кружка металлическая,посуда,3,1915.69,0.0
V6VLIA3VE60J74S,1,6,пасатижи универсал,инструменты,1,1894.61,328.82
V6VLIA3VE60J74S,1,6,молоток для дома,инструменты,3,1378.25,61.87
W7MDF5P1VTHDLJE,1,6,плед бамбуковый,текстиль,4,1337.84,0.0
W7MDF5P1VTHDLJE,1,6,молоток универсал,инструменты,1,4957.57,992.87
W7MDF5P1VTHDLJE,1,6,тарелка керамическая,посуда,6,2980.35,0.0
326TQY64TEP9E1P,1,6,спрей универсальный,бытовая химия,7,4727.59,0.0
